lfdn;username;dispcode;v_100;v_101;v_102;v_69;v_70;v_71;v_72;v_74;v_103;v_84;v_1;v_3;v_4;v_9;v_11;v_12;v_13;v_14;v_15;v_86;v_88;v_90;v_17;v_18;v_19;v_22;v_27;v_28;v_29;v_30;v_31;v_32;v_33;v_34;v_35;v_36;v_75;v_37;v_40;v_41;v_76;v_94;v_42;v_43;v_44;v_45;v_95;v_96;v_97;v_47;v_48;v_49;v_85;v_91;v_52;v_53;v_55;v_67;v_92;v_93;v_56;v_57;v_59;v_60;v_61;v_62;v_63
31;vaa32;31;3;2;4;4;4;4;4;4;5;vaa;2;4;4;5;5;7;5;1;6;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;1;-77;-77;2;-77;5;5;-77;-77;-77;2;-77;2;-77;3;3;4;4;2;5;3;1;1;4;1;5;5;4;-99;5;5;9;5;2;8
32;vaa33;31;4;5;3;4;5;5;1;3;3;brenneis;1;5;4;2;7;6;2;1;7;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;3;3;2;3;2;5;5;5;3;3;4;1;5;5;4;5;3;1;3;5;3;2;1;4;1;4;5;5;Es gibt kein  Argumente für neutral . Sehr Schade.   Argument für die Zustimmung/Ablehnung waren nicht gut verständlich.  Was stimme ich denn da zu? Ob Kategorisierung des Arguments (pro/contra) zur These passt? Ob ich das Argument an sich gut finde (Argumente waren of wie einfache Aussagen geschrieben, als wären Sie selbst Thesen. Hätte mir klarere Formulierung in natürlicher Sprache gewünscht. Z.b. mit  weil )?    Hatte auch den Fall, dass ich einem Argument zustimme, aber denke dass es für statt gegen die These ist. Stimme ich dann trotzdem zu?    Der mehr... Knopf wurde zwar benutzt, aber ich dachte ich sehe einfach eine zweite Seite an Argumenten. Habe nicht realisiert, dass dies die Begründung ist und habe nicht weiter gelesen bevor ich auf den Zurück-Knopf geklickt habe. ;2;7;6;2;1;7
38;vaa39;31;5;5;4;4;5;5;2;3;4;brenneis;1;4;4;4;7;8;5;1;10;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;1;3;2;2;5;3;3;4;5;5;3;3;3;5;5;4;2;3;5;4;3;2;3;1;4;5;4;-99;4;6;8;5;1;9
33;vaa34;31;3;3;3;4;5;4;3;3;3;vaa;1;1;3;1;1;1;1;1;1;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;1;-77;-77;2;-77;5;3;-77;-77;-77;1;-77;3;-77;3;3;3;2;3;5;3;4;2;4;1;4;5;4;Die Argumente werden, wenn ich das richtig gesehen habe, links/rechts nach dafür/dagegen aufgeteilt. Das fand ich nciht offensichtlich. Gleichzeitig fand ich dne Haken hiner jedem Argument irritierend, da dieser ja auch für zustimmung stand. Ich glaube, das könnte man besser visualisieren.;1;1;1;1;1;1
35;vaa36;31;5;4;4;4;5;4;3;3;4;vaa;1;3;4;3;8;6;1;1;8;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;5;2;-77;-77;-77;2;-77;3;-77;5;4;3;4;4;5;4;4;2;4;1;4;5;4;Die Argumente, die Parteien zu einer These haben sind immer mit einem Haken markiert, auch wenn sie die These ablehnt, oder ihr neutral gegenüber steht. Das fand ich zu Beginn verwirrend.;3;9;8;1;1;9
34;vaa35;31;5;5;4;4;4;3;1;3;5;brenneis;1;4;4;1;1;5;7;2;8;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;2;4;2;3;3;3;4;-77;5;5;5;-77;3;-77;5;5;4;4;3;5;3;4;3;3;1;4;5;4;Am Ende kann man sich die Argumente der Parteien ansehen. Die Ansicht ist sehr verwirrend unter anderem wegen den Häkchen und Kreutzen hinter den Thesen.    Ggf. geht es auch anders rum: Man hat nur einen Reiter  Meine Position  und da steht dann zu jedem Argument dem ich zustimme (bzw. ablehne)  Zugestimmt (Abgelehnt) haben auch FDP, CDU, SPD. Grüne sehen das anders .;1;1;6;7;2;8
36;vaa37;31;4;3;4;4;4;5;3;2;3;brenneis;1;2;4;3;6;9;4;2;7;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;1;4;2;3;4;5;2;-77;-77;5;4;-77;2;-77;4;3;4;4;4;5;4;4;2;4;1;1;4;5;-99;3;6;9;4;2;9
37;vaa38;31;1;1;3;5;5;3;1;2;4;vaa;1;4;5;2;5;9;4;1;10;1;1;2;-77;-77;-77;-77;1;2;1;1;2;-77;1;-77;-77;2;-77;5;3;-77;-77;-77;5;-77;4;-77;1;1;3;4;4;5;3;3;2;5;1;5;3;3;-99;2;2;9;2;1;10
39;vaa40;31;3;4;4;4;5;4;2;4;4;vaa;1;4;4;4;7;9;5;1;8;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;3;4;-77;-77;-77;2;-77;4;-77;3;3;4;4;4;5;2;4;3;4;2;5;5;4;Ich habe bei den Argumenten manches nicht verstanden:  - Warum standen manchmal die Argumente manchmal links und manchmal rechts?  - Warum war neben den Argumenten manchmal ein Haken, manchmal ein Kreuz?  - Wie sind die Argumente zustanden gekommen? Wurden die Antworten der Parteien normalisiert oder durfte man aus einem festen Item Set wählen?    Ich würde mir bei den Fragen eine neutrale Erklärung wünschen, beispielsweise was das Flüchtlingsabkommen mit der Türkei beinhaltet. Alternative eine Möglichkeit zum Überspringen;5;6;10;4;1;8
40;vaa41;31;4;4;3;4;5;3;1;5;5;brenneis;1;4;4;4;5;5;3;1;7;-77;-77;-77;1;1;1;2;1;1;2;1;2;3;4;1;1;3;2;5;-77;1;3;4;2;4;-77;1;5;3;4;2;2;5;3;4;5;4;1;5;2;3;Etwas nervig bei den Argumenten der Parteien immer alles aufklicken zu müssen;4;5;6;4;1;8
41;vaa42;31;3;4;4;4;5;2;3;3;5;vaa;1;4;5;6;8;3;2;1;9;1;1;2;-77;-77;-77;-77;1;2;2;2;2;-77;2;-77;-77;4;-77;-77;4;-77;-77;-77;4;-77;5;-77;3;4;4;5;4;5;3;2;2;4;1;5;4;3;Vielleicht  noch Zwischenebenen hinzufuegen, dasss man teilweise zustimmt.;5;8;4;3;1;8
42;vaa43;31;5;5;5;3;5;4;3;4;4;brenneis;1;4;4;3;8;6;2;1;9;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;2;1;1;2;3;4;4;4;5;4;5;5;4;2;5;5;5;4;2;3;2;4;4;4;1;3;3;2;-99;3;9;5;2;1;10
52;vaa53;32;4;4;4;5;5;4;2;2;3;brenneis;1;5;4;3;5;5;4;1;9;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;2;1;3;3;3;5;4;2;4;5;5;4;5;3;4;4;3;4;4;5;5;4;2;4;2;5;5;5;-99;3;7;5;3;1;9
43;vaa44;31;5;5;5;3;5;4;3;4;4;vaa;1;4;1;5;8;5;3;1;8;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;1;-77;-77;2;-77;2;2;-77;-77;-77;4;-77;1;-77;5;5;5;1;1;5;1;1;4;5;1;5;3;3;-99;5;8;5;3;1;8
44;vaa45;31;4;4;3;3;5;4;3;5;4;brenneis;1;2;2;6;6;1;2;1;7;-77;-77;-77;1;1;1;2;1;1;1;1;2;2;4;4;2;2;2;3;-77;-77;2;2;2;-77;-77;-77;2;2;2;1;1;5;1;1;2;4;1;5;4;4;-99;6;6;1;1;1;7
45;vaa46;22;4;4;4;4;5;3;1;2;3;vaa;1;5;4;1;4;7;3;1;7;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
47;vaa48;22;4;4;4;4;5;5;3;3;3;vaa;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
46;vaa47;31;3;4;3;5;5;3;3;4;5;brenneis;1;2;3;6;6;6;6;1;9;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;2;2;3;2;4;5;5;4;-77;5;3;3;4;2;3;4;3;4;3;5;5;5;2;4;1;4;5;4;-99;7;7;8;7;1;9
48;vaa49;31;2;4;2;5;5;5;3;1;3;brenneis;1;4;4;7;7;4;7;1;7;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;1;1;2;3;3;5;2;2;5;5;4;4;2;2;2;4;2;2;3;5;3;2;1;5;1;5;4;4;-99;9;9;3;8;1;8
49;vaa50;31;4;3;4;5;5;5;1;3;4;vaa;1;3;4;4;5;8;3;1;8;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;3;-77;-77;3;-77;5;5;-77;-77;-77;4;-77;5;-77;3;3;3;2;3;5;2;3;1;4;1;5;5;4;-99;4;6;8;3;1;9
50;vaa51;31;3;4;4;5;5;4;1;4;4;brenneis;1;2;4;5;6;4;6;1;4;-77;-77;-77;1;1;1;2;1;1;1;2;2;3;1;1;3;4;4;-77;2;2;-77;3;1;4;1;1;3;4;3;4;2;5;2;4;2;2;3;2;4;2;Insgesamt finde ich ArgVote interessant und halte es für eine gute Idee. Zu Beginn wäre ein interaktives Tutorial praktisch, damit keine Funktionen übersehen werden, da es insgesamt recht umfangreich ist.   Beim Erstellen der Umfrage, bzw. dem Zusammenstellen der Argumente für oder gegen eine These, muss stark darauf geachtet werden, dass alle Seiten neutral behandelt werden, da es sonst schon zu einer Verfälschung der Entscheidung kommen kann.;6;6;3;7;1;6
51;vaa52;22;2;2;1;5;5;4;2;4;5;vaa;3;5;5;7;6;2;6;1;8;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
53;vaa54;31;3;3;4;3;4;4;3;2;4;vaa;1;4;4;3;7;7;4;1;7;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;4;5;-77;-77;-77;3;-77;4;-77;3;3;4;2;2;5;2;2;2;4;1;5;5;5;-99;3;7;6;4;1;8
69;vaa70;31;2;2;2;4;4;2;2;1;3;vaa;1;4;4;3;6;6;3;2;8;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;1;-77;-77;3;-77;5;5;-77;-77;-77;3;-77;3;-77;2;2;2;2;4;5;4;4;3;3;3;3;5;4;Zur Frage:  Es war möglich, eine These zu überspringen      Genauer:  Man konnte zur nächsten Frage klicken, ohne die Frage zu beantworten.  Ob man am Ende das Formular mit unvollständigen Antworten auch abschicken kann, habe ich nicht ausprobiert.;4;6;5;3;2;7
54;vaa55;20;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
55;vaa56;31;4;4;4;4;4;5;1;3;4;vaa;1;1;3;2;2;5;3;1;3;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;1;-77;-77;2;-77;2;1;-77;-77;-77;5;-77;3;-77;4;4;4;1;1;5;1;1;1;4;1;4;1;2;-99;2;2;5;3;1;3
56;vaa57;31;3;4;4;5;5;5;2;5;5;brenneis;2;5;3;9;8;6;7;1;9;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;1;3;3;3;5;5;5;5;5;5;4;5;5;4;4;5;5;3;5;5;5;2;5;1;5;4;5;-99;8;7;6;5;1;8
57;vaa58;31;4;4;4;5;5;5;4;5;4;vaa;2;3;3;5;8;7;2;1;10;1;1;2;-77;-77;-77;-77;1;2;1;1;2;-77;2;-77;-77;3;-77;5;4;-77;-77;-77;3;-77;3;-77;4;4;3;5;5;5;1;4;1;5;1;5;5;4;-99;4;7;9;3;1;10
58;vaa59;31;5;4;4;5;5;4;1;4;4;brenneis;1;2;2;3;2;1;8;1;4;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;3;3;2;3;3;5;5;5;3;4;2;3;5;5;5;5;4;4;3;5;3;3;2;5;1;5;5;5;-99;3;2;1;8;1;4
59;vaa60;31;5;4;4;4;4;3;2;4;3;vaa;1;2;3;6;3;2;8;4;3;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;5;4;-77;-77;-77;3;-77;2;-77;4;5;4;2;2;5;3;2;4;4;1;3;5;3;Bessere Kenntlichmachung von als wichtig markierten Fragen wüschenswert;6;2;2;9;6;3
61;vaa62;31;4;4;3;3;5;5;2;2;4;vaa;1;4;2;5;7;7;6;1;6;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;2;-77;-77;3;-77;5;1;-77;-77;-77;4;-77;1;-77;4;4;4;2;3;5;2;2;2;4;1;2;4;3;In der Vorstellung der Thesen nach Abgabe ist es schwierig von These zu These zu wechseln da keine gut sichtbaren Buttons vorhanden waren und man deswegen auf die kleinen Icons oben klicken musste (an denen auch schwer zu erkennen war was wichtig markiert wurde und was nicht);5;8;8;5;1;5
60;vaa61;22;2;3;4;5;5;4;2;3;1;brenneis;2;2;5;3;3;7;4;1;7;-77;-77;-77;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
62;vaa63;31;4;5;4;4;5;4;1;2;5;brenneis;1;4;4;4;6;3;7;1;9;-77;-77;-77;1;1;1;2;1;2;1;2;2;2;2;1;1;3;3;5;4;1;4;5;3;4;2;3;4;4;4;1;1;5;1;2;4;4;1;4;3;3;-99;5;6;3;7;1;8
63;vaa64;31;5;5;4;4;5;4;1;3;4;vaa;1;2;3;3;6;6;4;1;9;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;5;4;-77;-77;-77;5;-77;2;-77;5;4;3;3;4;5;3;5;1;4;1;5;5;5;-99;4;7;6;3;1;10
64;vaa65;31;3;3;2;4;5;4;1;2;5;brenneis;1;5;3;4;3;7;6;1;8;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;2;2;3;3;2;5;4;5;5;5;1;2;3;5;2;3;3;3;2;5;4;4;3;4;1;5;4;4;Ich glaube Schieberegler und Zustimmungsgrade würde es vereinfachen Argumente zu bewerten im Vergleich zu dem harten Annehmen und Ablehnen von Argumenten. Das könnte vielleicht sogar auf die Thesen erweitert werden, wo gefühlt über Neutral abhilfe geschaffen wird;4;3;8;5;1;7
67;vaa68;31;5;5;5;4;5;5;4;2;4;vaa;1;5;4;4;9;3;6;2;7;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;3;-77;-77;3;-77;4;4;-77;-77;-77;5;-77;5;-77;5;5;5;2;3;5;2;2;2;5;1;5;3;3;-99;4;8;4;5;2;6
65;vaa66;31;5;4;5;4;5;4;2;3;4;vaa;1;5;5;5;4;7;3;1;10;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;1;-77;-77;3;-77;5;3;-77;-77;-77;4;-77;1;-77;5;4;5;4;4;5;4;4;2;5;1;5;5;5;Im Nachhinein Aussagen als besonders wichtig gewichten, da ich erst nach dem Gesamtüberblick weiss, was meine Top 1-3 sind. ;4;6;8;3;1;10
