lfdn;username;dispcode;v_100;v_101;v_102;v_69;v_70;v_71;v_72;v_74;v_103;v_84;v_1;v_3;v_4;v_9;v_11;v_12;v_13;v_14;v_15;v_86;v_88;v_90;v_17;v_18;v_19;v_22;v_27;v_28;v_29;v_30;v_31;v_32;v_33;v_34;v_35;v_36;v_75;v_37;v_40;v_41;v_76;v_94;v_42;v_43;v_44;v_45;v_95;v_96;v_97;v_47;v_48;v_49;v_85;v_91;v_52;v_53;v_55;v_67;v_92;v_93;v_56;v_57;v_59;v_60;v_61;v_62;v_63
68;vaa69;32;3;4;4;4;5;4;2;4;3;brenneis;1;2;4;8;8;3;5;1;8;-77;-77;-77;1;1;1;2;1;1;1;2;2;3;2;2;4;4;4;-77;2;2;-77;4;5;5;5;5;3;2;2;2;2;5;4;2;3;1;3;3;2;2;Eine Animation oder Video am Anfang zur Erklärung wäre sicher sehr hilfreich gewesen (wenn auch aufwändig).  Der Sinn hinter einigen Argumenten war schwierig nachvollziehbar.;7;7;3;5;1;7
66;vaa67;22;5;4;3;5;5;3;1;3;3;brenneis;1;5;4;2;3;5;1;1;7;-77;-77;-77;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
70;vaa71;22;2;2;2;2;2;2;2;2;2;brenneis;1;2;2;7;4;3;6;6;4;-77;-77;-77;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
71;vaa72;31;3;2;2;4;5;4;1;3;5;vaa;2;1;3;8;5;4;1;1;10;1;1;2;-77;-77;-77;-77;1;2;2;2;2;-77;4;-77;-77;3;-77;5;-77;-77;-77;-77;1;-77;-77;-77;4;3;2;4;3;5;2;2;2;5;1;3;4;3;-99;7;5;9;1;1;10
72;vaa73;22;4;4;3;4;4;4;2;2;5;brenneis;1;3;3;3;6;5;4;1;8;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
73;vaa74;31;4;4;4;3;4;4;1;2;4;vaa;1;1;3;5;5;5;3;1;8;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;2;-77;-77;3;-77;5;4;-77;-77;-77;5;-77;5;-77;4;4;4;2;4;5;2;4;2;5;1;5;3;3;-99;5;5;6;3;1;9
74;vaa75;31;4;3;3;4;5;5;3;2;3;brenneis;1;2;4;2;4;6;5;1;8;-77;-77;-77;1;1;1;2;1;1;2;1;2;3;3;2;3;3;3;5;5;5;5;5;1;3;5;5;4;3;3;3;2;5;5;4;2;5;1;5;5;4;-99;2;5;4;4;1;8
75;vaa76;31;5;4;4;2;4;3;4;3;5;vaa;1;2;4;4;5;7;6;2;8;1;1;2;-77;-77;-77;-77;1;2;2;2;2;-77;3;-77;-77;4;-77;-77;5;-77;-77;-77;4;-77;4;-77;5;4;4;2;2;5;1;1;1;5;2;5;2;3;Bei der Auswertung würde ich mir wünschen, zu erfahren wie die Auswertung zustande kommt.;5;6;7;6;3;8
76;vaa77;31;5;5;5;3;5;4;1;3;2;brenneis;1;3;4;3;8;7;3;1;9;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;1;2;1;3;1;5;4;3;2;2;5;4;2;2;5;5;5;2;5;5;2;3;1;4;1;5;5;5;-99;2;8;8;4;1;9
78;vaa79;31;5;5;5;4;5;4;1;3;2;brenneis;1;3;5;4;8;7;3;1;9;-77;-77;-77;1;1;1;2;1;2;1;2;2;3;1;1;3;1;4;4;4;4;-77;5;5;5;4;4;5;5;5;4;2;5;4;3;2;2;1;5;5;5;-99;4;8;7;4;1;9
77;vaa78;31;5;5;4;5;5;4;2;3;1;vaa;1;3;5;3;5;6;3;1;6;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;5;4;-77;-77;-77;2;-77;5;-77;5;4;4;1;2;5;2;2;2;4;1;4;5;3;-99;3;6;6;3;1;6
79;vaa80;22;3;3;3;3;2;2;2;2;2;vaa;1;3;2;4;4;4;4;4;4;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
80;vaa81;31;5;5;5;5;4;4;3;5;2;brenneis;1;3;4;5;7;4;3;1;8;-77;-77;-77;1;1;1;2;1;2;1;2;2;3;2;2;3;3;2;4;5;4;4;5;4;4;2;3;5;5;5;2;2;5;3;2;3;4;1;4;5;4;-99;6;8;5;3;1;9
81;vaa82;31;4;4;4;4;5;5;2;2;3;vaa;1;3;3;3;4;6;1;1;5;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;1;-77;-77;3;-77;4;4;-77;-77;-77;4;-77;4;-77;4;4;4;2;2;5;2;2;3;3;1;4;4;3;-99;3;4;6;1;1;5
82;vaa83;31;4;5;5;3;2;2;3;2;2;brenneis;1;2;3;5;1;1;4;8;1;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;1;1;2;3;4;3;2;2;-77;3;4;3;2;2;5;5;4;2;2;5;2;2;4;3;2;3;3;3;-99;6;1;1;5;8;1
83;vaa84;31;4;4;4;3;4;4;3;2;4;vaa;1;4;4;7;7;5;1;1;8;1;1;2;-77;-77;-77;-77;2;2;1;1;2;-77;2;-77;-77;3;-77;4;4;-77;-77;-77;4;-77;4;-77;4;4;4;4;4;3;3;4;1;4;1;1;4;5;-99;8;7;7;1;1;9
84;vaa85;31;3;3;4;4;4;3;2;1;5;brenneis;1;4;4;2;4;4;3;1;5;-77;-77;-77;1;1;1;2;1;2;1;1;2;3;1;1;3;1;2;4;3;2;4;5;5;5;4;4;3;3;4;2;2;5;4;3;2;4;1;4;4;4;Das Klicken auf  Nächste Frage  war teilweise frickelig, es wäre vielleicht besser einen Button zu nutzen, da ich irgendwie 2 oder 3 mal nicht den Link genau 'getroffen' habe und mich dann gewundert habe, warum nichts passiert.  Einmal habe ich  Mehr  auf einem Argument geklickt und es war nicht 100% offensichtlich was passiert ist, da das Argument keine weitere Begründung hatte.;2;4;4;3;1;5
85;vaa86;32;5;5;5;5;5;5;2;2;4;vaa;1;1;4;2;4;8;2;1;10;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;2;-77;-77;3;-77;5;4;-77;-77;-77;4;-77;2;-77;5;5;5;2;4;5;4;4;1;5;1;4;4;4;Unabhängig zur Zustimmung oder Ablehnung wurden in den Kästen mit den Argumenten zu den Thesen der Parteien immer Häkchen angezeigt. Das empfand ich im Fall der Ablehnung als verwirrend.;2;7;7;2;1;10
87;vaa88;31;5;5;5;2;5;5;3;5;5;vaa;1;1;1;6;5;2;8;1;5;1;1;2;-77;-77;-77;-77;1;1;2;1;2;-77;1;-77;-77;2;-77;3;3;-77;-77;-77;2;-77;1;-77;5;5;5;1;1;5;1;2;1;3;3;3;5;2;-99;6;5;2;8;1;5
86;vaa87;31;3;3;4;4;5;4;4;4;5;brenneis;1;5;5;4;8;8;4;1;8;-77;-77;-77;1;1;1;2;2;1;1;1;2;2;1;1;3;2;2;5;4;4;3;4;3;4;3;3;2;2;2;4;3;5;4;4;2;3;4;2;5;3;-99;3;4;7;4;1;7
88;vaa89;31;5;5;4;4;4;5;3;5;3;brenneis;2;2;4;3;7;7;2;1;5;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;2;1;1;1;1;2;2;2;3;5;5;3;3;5;5;3;1;1;3;1;1;3;3;2;3;2;4;teilweise hatte ich Schwierigkeiten die Fragen zu verstehen/ z.B hier was bedeutet überladen;4;8;8;3;1;6
89;vaa90;31;2;2;3;2;4;2;3;4;4;vaa;1;4;4;9;9;3;4;1;8;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;1;-77;-77;3;-77;5;3;-77;-77;-77;5;-77;5;-77;2;2;3;4;4;1;3;4;1;5;1;5;4;4;-99;8;9;3;4;2;7
90;vaa91;31;2;2;2;5;5;5;1;4;5;brenneis;1;3;4;3;6;2;2;1;8;-77;-77;-77;1;1;1;2;2;1;1;2;2;1;2;1;3;3;2;4;4;2;2;5;3;3;4;4;1;3;2;2;3;5;4;3;1;5;1;5;4;4;-99;4;6;2;2;1;7
91;vaa92;31;5;5;4;4;4;3;2;4;3;vaa;1;4;4;7;8;4;5;1;7;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;2;-77;5;4;-77;-77;-77;4;-77;3;-77;5;5;4;1;1;5;1;1;1;4;1;4;4;3;-99;6;7;4;5;1;6
92;vaa93;31;4;5;4;2;5;5;2;4;5;brenneis;1;5;1;10;7;1;9;1;8;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;1;3;3;3;5;3;3;5;5;3;4;1;1;3;4;4;1;2;5;2;2;1;5;1;5;2;5;-99;9;7;1;9;1;8
93;vaa94;32;5;4;5;4;3;2;2;5;3;vaa;1;5;4;7;2;3;7;3;2;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;5;5;-77;-77;-77;5;-77;5;-77;5;5;5;1;2;5;1;1;1;5;1;5;5;5;Man könnte weitere Formen der Gewichtung einfügen anstelle der aktuellen binären Gewichtung (besonders wichtig / nicht besonders wichtig).     Auch wenn ich die Anmerkung vorhin schon im Freitextfeld angegeben hatte, passt die vielleicht hier besser hin. daher nochmal hier eingefügt - eine eher generelle Anmerkung zu Programmen à la Wahl-O-Mat:  Was überaus entscheidend ist, allerdings auch inhärent schwer in entsprechenden Programmen zu integrieren, sind konditionale Antworten. Viele Entscheidungen hängen von Dingen ab, die dem Wähler nicht bekannt sind bzw nicht bekannt sein können. Einfaches Beispiel - Windkraft: Während die Frage, ob man stärker Windkraft nutzen sollte, zunächst ideologisch beantwortet werden könnte im Sinne von  Ja, weil alternative Energie  oder  Nein, weil Ökospinnerei , stellen sich für eine fundierte Antwort doch weitaus mehr Fragen. Dazu zählen mitunter:  Welche Kosten ergeben sich (Bau neuer Kraftwerke, Wartung, Umstellung der Infrasturktur)? ,  Wie resilient ist das, was umgesetzt werden kann? ,  Wer übernimmt die Umsetzung und was ist über die betreffenden Personen bekannt? ,  Welche technologische Entwicklung ist aktuell absehbar (richtiger Zeitpunkt für Investition)? , etc... Die meisten Fragen würde ich in der Form 'wenn ..., dann ...' beantworten. Was man an der Ecke noch integrieren könnte (logisch konditionale Modelle, wahrscheinlichkeitsbasierte Modelle,...) bietet sicher noch Raum für viele weitere Arbeiten.;6;3;1;6;2;1
94;vaa95;31;4;4;3;4;5;4;4;5;4;brenneis;1;0;5;4;8;6;3;1;8;-77;-77;-77;1;1;1;2;1;1;1;2;2;3;1;2;3;3;4;5;3;3;-77;5;5;5;3;5;5;4;3;4;4;5;4;4;1;5;1;5;5;4;-99;5;8;5;2;1;8
95;vaa96;31;4;4;4;4;5;5;4;3;3;vaa;1;3;5;5;8;8;2;1;10;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;2;-77;-77;3;-77;5;3;-77;-77;-77;2;-77;3;-77;3;4;3;4;4;5;2;4;1;4;1;5;4;4;-99;4;8;8;2;1;9
96;vaa97;31;2;5;5;4;5;5;1;3;4;brenneis;1;1;4;1;1;5;1;1;4;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;2;2;3;2;3;5;4;4;5;5;5;5;3;3;1;5;5;3;3;5;3;3;1;5;1;4;4;4;Ich weiß nicht, wie es auf der Desktop Version aussieht, aber auf dem Handy war es mir nicht möglich zu vorherigen Thesen zurück zu springen um die Argumente noch einmal durch zu lesen. ;1;1;7;1;1;7
97;vaa98;31;3;3;4;5;4;5;2;3;1;vaa;1;4;4;3;6;7;2;1;7;1;1;2;-77;-77;-77;-77;1;1;2;2;2;-77;1;-77;-77;4;-77;-77;4;-77;-77;-77;5;-77;3;-77;4;3;3;3;3;5;3;3;2;4;4;3;5;4;-99;2;5;5;1;1;4
98;vaa99;31;5;5;4;5;4;4;3;4;4;brenneis;1;5;3;9;4;2;7;5;2;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;1;3;3;2;5;5;5;5;5;3;5;5;5;5;4;3;5;3;5;4;5;4;2;1;3;4;3;Dafür kann ArgVote nichts, jedoch gibt es für eine These immer verschiedene Pro und Kontraargumente. Sobald auf einer Seite mehr Argumente sich befinden, tendiert man dazu seine Meinung umzuändern. Wenn bei Pro nur eine Meinung steht und bei Contra 10 Stück, ändert meine automatisch seine Haltung zu der These. Ich habe häufig meine Meinung zu einer These umgeändert nachdem ich mir die Meinungen angeschaut habe.;9;4;1;8;7;2
99;vaa100;22;4;3;5;5;5;5;1;4;2;vaa;2;3;4;4;1;1;9;7;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
100;vaa101;22;1;3;1;3;3;4;3;3;2;brenneis;3;1;1;3;6;2;7;5;7;-77;-77;-77;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
101;vaa102;31;3;5;5;3;3;3;4;4;3;vaa;2;4;5;7;5;4;8;5;1;1;1;2;-77;-77;-77;-77;2;2;2;2;2;-77;1;-77;-77;1;-77;1;1;-77;-77;-77;3;-77;4;-77;4;5;4;2;2;2;2;2;4;3;4;4;4;3;-99;8;5;1;10;1;7
102;vaa103;22;2;1;4;3;5;3;3;4;4;brenneis;2;4;4;4;4;6;6;5;6;-77;-77;-77;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
108;vaa109;22;3;2;2;1;5;3;1;2;2;brenneis;1;3;4;5;1;2;5;3;2;-77;-77;-77;1;1;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
103;vaa104;31;3;2;4;3;5;3;3;4;4;vaa;1;4;5;4;6;4;3;1;8;1;1;2;-77;-77;-77;-77;1;2;2;1;2;-77;3;-77;-77;3;-77;5;5;-77;-77;-77;5;-77;5;-77;4;3;3;4;3;5;4;4;2;5;1;5;4;4;-99;3;7;4;2;1;8
104;vaa105;31;5;4;5;4;4;2;3;4;5;brenneis;1;4;5;9;6;4;8;2;7;-77;-77;-77;1;1;1;2;1;1;1;1;2;2;2;2;2;3;2;5;5;5;4;4;4;4;3;5;5;5;5;4;3;5;4;4;4;4;5;5;5;4;Die hohe Anzahl der Argumente ließen es teils überladen aussehen.  Manche Argumente waren für mich nicht klar verständlich.;9;5;4;8;2;7
105;vaa106;22;0;0;0;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77
106;vaa107;31;3;4;4;4;4;4;2;3;3;brenneis;1;2;4;8;6;5;8;1;9;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;1;2;2;4;4;2;2;-77;4;5;4;5;5;3;4;4;3;4;5;4;4;2;4;2;4;4;3;-99;7;6;4;7;1;9
107;vaa108;31;3;3;3;3;4;3;2;4;4;vaa;1;4;4;8;7;6;1;1;2;1;1;2;-77;-77;-77;-77;2;1;2;1;2;-77;1;-77;-77;3;-77;4;3;-77;-77;-77;4;-77;2;-77;4;4;3;2;2;2;2;2;4;4;2;4;3;3;-99;8;8;7;1;1;3
109;vaa110;31;4;4;4;3;5;4;1;3;3;vaa;1;4;5;6;6;1;6;1;3;1;1;2;-77;-77;-77;-77;2;1;2;1;2;-77;1;-77;-77;3;-77;5;3;-77;-77;-77;2;-77;3;-77;4;4;4;2;2;5;2;5;2;4;1;5;5;4;-99;5;5;1;5;1;3
110;vaa111;31;4;4;4;5;5;5;4;4;4;brenneis;1;4;4;8;6;2;6;1;3;-77;-77;-77;1;1;1;2;1;1;1;1;2;3;1;1;3;3;1;5;4;4;4;5;4;3;2;3;4;4;4;2;2;5;3;4;1;4;1;5;5;4;Ich fände besser, Thesen im Nachhinein doppelt gewichen zu können (so wie beim Wahl o mat).  Es ist einfacher zu entscheiden, welche Thesen besonders relevant sind, wenn man alle Thesen nebeneinander sieht.;9;6;2;7;1;3
